Intensity    Wavelength (Å)    Spectrum  Reference
  120   c      4000.173        Pr II     G90                 
  400   P      4000.449        Dy II     NG00                
  250          4001.24         K  II     D26                 
    8          4001.443        Cr I      K53                 
   25          4003.39         Ho I      MCS75               
  250          4003.769        Ce II     C73                 
  100          4004.02         Nd II     MCS75               
  140          4004.702        Pr II     G90                 
  130          4005.2094       U  I      PKE80               
  250          4005.232        Ce I      M75c                
   40          4005.2419       Fe I      NJLT94              
  300          4005.474        Tb II     B01                 
   25          4005.837        Dy I      NG00                
  250   P      4006.52         Te II     HM64                
   60          4007.596        Zr I      J98                 
 1000   P      4007.965        Er I      M64b                
  400          4008.2102       Th I      PE83                
   70          4008.33         Gd I      MCS75               
  400          4008.691        Pr II     G90                 
 1000   P      4008.75         W  I      MCS75               
  120          4008.927        Ti I      F91                 
  400          4009.0573       Th I      PE83                
    1          4009.27         He I      M60a                
   25          4009.656        Ti I      F91                 
  500          4009.96         Pm II     RCWM80              
  120          4010.601        Pr II     G90                 
   50          4012.00         Tc I      BMC67               
  700   P      4012.25         Nd II     MCS75               
  800   P      4012.387        Ce II     C73                 
  500   P      4012.4952       Th I      PE83                
   80          4012.533        Er I      M64b                
  100          4012.70         Nd II     MCS75               
  300   l      4012.96         Pa II     BW92b               
   60          4013.7145       Pt II     SRSA92              
   30          4013.822        Dy I      NG00                
   15          4013.857        Ar II     N73                 
  250          4014.897        Ce II     C73                 
   60          4015.22         W  I      MCS75               
  250          4015.39         La I      MCS75               
  140          4015.391        Pr II     G90                 
 1000          4016.17         Cm I      WHGC76              
   30          4017.22         Tc I      BMC67               
   90          4017.71         Gd I      MCS75               
  120          4017.7163       U  II     PKE80               
   60          4018.106        Mn I      CMG64               
  300   s      4018.21         Pa II     BW92b               
 1000   P      4019.1289       Th II     PE83                
   12          4019.632        Pb I      WA68                
   10   s      4020.252        Am I      FT57                
  900   P      4020.387        Sc I      AV77                
  200   P      4020.512        Er I      M64b                
  100          4020.76         Tc I      BMC67               
  200          4020.87         Nd II     MCS75               
  120          4020.96         Pr II     MCS75               
  200          4021.34         Nd II     MCS75               
   30          4021.548        Er I      M64b                
  200          4021.78         Nd II     MCS75               
  140          4022.168        Ru I      K59                 
   90          4022.712        Pr II     G90                 
  200          4023.00         Nd II     MCS75               
  250          4023.14         Gd I      MCS75               
  200          4023.231        Sm II     K35                 
  150          4023.35         Gd I      MCS75               
  900   P      4023.678        Sc I      AV77                
   25          4023.715        Dy I      NG00                
   50          4023.832        Ru I      K59                 
  110          4023.977        Zr I      J98                 
   20          4024.230        Tm I      SMC73               
  250          4024.487        Ce II     C73                 
  150          4024.571        Ti I      F91                 
  250   P      4024.726        F  II     P69                 
  200          4024.912        Zr I      J98                 
  200   P      4025.010        F  II     P69                 
  250   P      4025.491        F  II     P69                 
   70          4025.54         Pr II     MCS75               
   50          4026.191        He I      M60a                
    5          4026.36         He I      M60a                
  250          4027.0091       Th I      PE83                
  300          4027.201        Zr I      J98                 
   40          4027.21         Ho I      MCS75               
  250          4028.15         Gd I      MCS75               
  250          4028.404        Ce II     C73                 
   30          4028.86         Ho I      MCS75               
   70          4028.947        Zr I      J98                 
   20          4029.49         Rb II     R75                 
   70          4029.675        Zr II     J98                 
   70   c      4029.72         Pr II     MCS75               
  140          4030.032        Zr I      J98                 
  300          4030.16         Pa II     BW92b               
   20          4030.38         Sr I      MCS75               
   25   h      4030.511        Ti I      F91                 
   10          4030.622        Sc I      AV77                
 1000   P      4030.755        Mn I      CMG64               
  400          4030.8424       Th I      PE83                
  200          4030.88         Gd I      MCS75               
  250          4031.332        Ce II     C73                 
 1000   P,c    4031.63         Tc I      BMC67               
  300   P      4031.69         La II     MCS75               
  140   c      4031.753        Pr II     MCS75               
 1000          4031.76         Cm I      WHGC76              
  200          4031.82         Nd II     MCS75               
  300   P      4032.284        Tb I      B01                 
   70          4032.52         Nb I      MCS75               
  500   P      4032.984        Ga I      ND82                
  400   P      4033.027        Tb II     B01                 
  700   P      4033.068        Mn I      CMG64               
  150          4033.49         Gd I      MCS75               
   15          4033.809        Ar II     N73                 
  200          4033.827        Pr II     G90                 
  400   P      4034.485        Mn I      CMG64               
  200          4034.63         Ac I      MFT57               
  200          4035.110        Sm II     K35                 
   70          4035.40         Gd I      MCS75               
 1000          4035.45         Cf I      RCWM80              
    7          4035.460        Ar II     N73                 
   60          4035.729        Mn I      CMG64               
   10   s      4035.808        Am I      FT57                
  110          4035.887        Zr I      J98                 
  400          4036.0479       Th I      PE83                
  100   s      4036.365        Am II     FT57                
  150          4037.33         Gd II     MCS75               
   30          4037.59         Xe II     H39                 
   25          4037.62         Ho I      MCS75               
   80          4037.90         Gd II     MCS75               
  140          4038.455        Pr II     G90                 
   10          4039.098        Cr I      K53                 
   11          4039.19         Eu I      MCS75               
   50          4039.25         Tc I      BMC67               
   90          4039.341        Pr II     G90                 
   90          4039.826        Y  I      P77                 
   80          4039.85         Cs II     S81                 
  600   P      4040.752        Ce II     C73                 
  600   P      4040.80         Nd II     MCS75               
  300   P      4040.81         Ho I      MZH78               
   40          4040.931        Au I      ED71                
   30          4041.31         N  II     M75a                
  200   P      4041.357        Mn I      CMG64               
   70          4042.219        Zr I      J98                 
  250          4042.578        Ce II     C73                 
  200          4042.723        Sm II     K35                 
  300   P      4042.7496       U  I      PKE80               
   50          4042.894        Ar II     N73                 
  200          4042.905        Sm II     K35                 
  300   P      4042.91         La II     MCS75               
  150          4043.570        Zr I      J98                 
   90          4043.71         Gd I      MCS75               
   10          4043.803        Sc I      AV77                
  700   P      4044.14         K  I      R56                 
    1          4044.418        Ar I      N73                 
   40          4044.474        Tm I      SMC73               
  140          4044.560        Zr I      J98                 
  250          4044.813        Pr II     G90                 
  300          4045.01         Gd I      MCS75               
  300   P,c    4045.47         Ho II     MZH78               
  110          4045.59         W  I      MCS75               
   70          4045.612        Zr II     J98                 
  300   P      4045.8125       Fe I      NJLT94              
  800   P      4045.970        Dy I      NG00                
  200          4046.337        Ce II     C73                 
  400   P      4046.563        Hg I      BAL50               
  300   s      4046.93         Pa II     BW92b               
   70          4046.955        Er I      M64b                
   70          4047.082        Pr II     G90                 
  200          4047.160        Sm II     K35                 
  700   P      4047.21         K  I      R56                 
   25   c      4047.52         Ho I      MCS75               
  130          4047.6117       U  I      PKE80               
  250          4047.628        Y  I      P77                 
  120          4047.797        Sc I      AV77                
