element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
C,1,"=""586.4948""","=""0.0014""","=""586.4966""","=""0.0006""","=""1700""","=""""",,"=""70743.97227""","=""87789.646""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.7s""","=""1P*""","=""1""",,"=""""","=""L17684""",
Nd,2,"=""586.5057""","=""""","=""586.5027+""","=""""","=""150""","=""1.3e+06""",E,"=""11373.475""","=""28418.970""","=""4f4.(5I).5d""","=""6I""","=""15/2""","=""4f4.(5I).6p""","=""6K*""","=""17/2""",,"=""T4515""","=""L3260,L3475""",
Fe,2,"=""586.50608""","=""0.00009""","=""586.50601""","=""0.00005""","=""110""","=""""",,"=""44929.532""","=""61974.931""","=""3d6.(1F).4s""","=""c 2F""","=""5/2""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""",,"=""""","=""L18349c139""",
Ti,1,"=""586.5244""","=""0.0004""","=""586.52442""","=""0.00014""","=""7""","=""""",,"=""8492.422""","=""25537.286""","=""3d2.4s2""","=""a 3P""","=""1""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""1""",,"=""""","=""L10989""",
Cr,1,"=""586.588""","=""0.006""","=""586.58520""","=""0.00017""","=""10""","=""""",,"=""28679.4239""","=""45722.522""","=""3d5.(4D).4s""","=""a 3D""","=""1""","=""3d5.(4P).4p""","=""y 3P*""","=""0""",,"=""""","=""L808""",
Cr,1,"=""586.588""","=""0.006""","=""586.589""","=""0.005""","=""10""","=""""",,"=""47708.35""","=""64751.33""","=""3d5.(6S).6p""","=""w 7P*""","=""3""","=""3d4.4s.5s""","=""e 5H""","=""4""",,"=""""","=""L808""",
W,1,"=""586.602""","=""""","=""586.604""","=""0.003""","=""1w""","=""""",,"=""36874.36""","=""53916.90""","=""""","=""*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L153""",
Fe,1,"=""586.62330""","=""0.00010""","=""586.62323""","=""0.00008""","=""4""","=""""",,"=""36975.588""","=""54017.581""","=""3d7.(2F).4s""","=""d 3F""","=""3""","=""3d7.(4F).5p""","=""3G*""","=""4""",,"=""""","=""L11631""",
Se,2,"=""586.63""","=""""","=""""","=""""","=""285""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3276""",
Lu,1,"=""586.630""","=""""","=""586.626+""","=""""","=""9""","=""""",,"=""7476.39""","=""24518.30""","=""6s2.6p""","=""2P*""","=""3/2""","=""5d2.(1D).6s""","=""2D""","=""3/2""",,"=""""","=""L3475""",
Ti,1,"=""586.6362""","=""0.0004""","=""586.63667""","=""0.00014""","=""24""","=""""",,"=""26657.416""","=""43699.0187""","=""3d3.(4F).4p""","=""y 5G*""","=""4""","=""3d3.(4F).4d""","=""5G""","=""4""",,"=""""","=""L10989""",
Fe,1,"=""586.6445""","=""0.0003""","=""586.64389""","=""0.00005""","=""1""","=""""",,"=""34328.752""","=""51370.145""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""2""",,"=""""","=""L11631""",
Ti,1,"=""586.6449""","=""0.0004""","=""586.64513""","=""0.00014""","=""1100""","=""4.00e+06""",C+,"=""8602.3441""","=""25643.701""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d3.(4F).4p""","=""y 3D*""","=""3""",,"=""T4294""","=""L10989""",
Nb,1,"=""586.647""","=""""","=""""","=""""","=""65""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ar,2,"=""586.6598""","=""0.0008""","=""586.66170""","=""0.00004""","=""2""","=""""",,"=""179592.2248""","=""196633.1005""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ta,1,"=""586.6610""","=""""","=""586.661+""","=""""","=""15""","=""""",,"=""21153.33""","=""38194.22""","=""5d4.(3H).6s""","=""a 4H""","=""9/2""","=""5d3.6s.(3H).6p""","=""z 4H*?""","=""11/2""",,"=""""","=""L7593,L3475""",
Kr,1,"=""586.675017""","=""""","=""586.67501+""","=""""","=""50""","=""1.97e+05""",C+,"=""85846.7046""","=""102887.1936""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""",,"=""T3952n,T3378""","=""L11281""",
Th,1,"=""586.68117""","=""0.00003""","=""586.681199""","=""0.000004""","=""330""","=""""",,"=""10526.544406""","=""27566.85363""","=""5f.6d.7s2""","=""3G*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L18702""",
Fe,1,"=""586.6990""","=""0.0003""","=""586.69901""","=""0.00005""","=""2""","=""""",,"=""37409.555""","=""54449.347""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""1""","=""3d7.(4F).4d""","=""f 3D""","=""1""",,"=""""","=""L11631""",
Cr,1,"=""586.705""","=""0.004""","=""586.69898""","=""0.00006""","=""50""","=""""",,"=""28679.4239""","=""45719.2168""","=""3d5.(4D).4s""","=""a 3D""","=""1""","=""3d5.(4P).4p""","=""y 3P*""","=""1""",,"=""""","=""L808""",
Nd,1,"=""586.708""","=""""","=""""","=""""","=""35""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Fe,1,"=""""","=""""","=""586.71767""","=""0.00005""","=""""","=""2.1e-02""",E,"=""888.132""","=""17927.382""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4s""","=""a 5P""","=""1""",E2,"=""T6409""","=""""",
Cs,2,"=""586.7186""","=""0.0007""","=""586.7186""","=""0.0010""","=""20""","=""""",,"=""166088.6464""","=""183127.87""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).11g""","=""2[5/2]*""","=""3""",,"=""""","=""L12126""",
Th,2,"=""586.7348""","=""0.0005""","=""586.734301""","=""0.000021""","=""0""","=""""",,"=""26770.49238""","=""43809.2594""","=""5f.(2F*).6d2.(3P)""","=""4G*""","=""11/2""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""",,"=""""","=""L2372""",
W,1,"=""586.746""","=""""","=""586.745""","=""0.003""","=""1""","=""""",,"=""20427.84""","=""37466.30""","=""5d5.(4P).6s""","=""5P""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Si,2,"=""586.748""","=""""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
Th,1,"=""586.7542""","=""0.0003""","=""586.754588""","=""0.000021""","=""10""","=""""",,"=""18382.82669""","=""35421.0046""","=""6d2.7s.7p""","=""5D*""","=""0""","=""""","=""""","=""1""",,"=""""","=""L3552""",
Ti,2,"=""586.755""","=""0.002""","=""586.75443""","=""0.00007""","=""4""","=""""",,"=""65095.9741""","=""82134.1565""","=""3d2.(3F).4d""","=""e 4G""","=""9/2""","=""3d2.(3F).4f""","=""4D*""","=""7/2""",,"=""""","=""L5432""",
Th,2,"=""586.7621""","=""0.0005""","=""586.761062""","=""0.000017""","=""25""","=""""",,"=""17983.38416""","=""35021.3741""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""5f.7s.(3F*).7p""","=""4D""","=""3/2""",,"=""""","=""L2372""",
Al,2,"=""""","=""""","=""586.764""","=""""","=""""","=""5.61e+04""",D,"=""121483.50""","=""138521.4""","=""3s.4d""","=""3D""","=""3""","=""3s.6f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""""",
Sm,1,"=""586.779""","=""""","=""""","=""""","=""65""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Al,2,"=""""","=""""","=""586.779""","=""""","=""""","=""1.99e+06""",C+,"=""121483.92""","=""138521.4""","=""3s.4d""","=""3D""","=""2""","=""3s.6f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""""",
Al,2,"=""586.781""","=""""","=""586.790""","=""""","=""50""","=""1.07e+07""",B,"=""121484.252""","=""138521.4""","=""3s.4d""","=""3D""","=""1""","=""3s.6f""","=""3F*""","=""2""",,"=""T6298c4,LS""","=""L3471""",
Th,1,"=""586.7841""","=""0.0003""","=""586.784242""","=""0.000017""","=""220""","=""""",,"=""23015.15141""","=""40052.4683""","=""""","=""*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L3552""",
Cr,1,"=""586.798""","=""0.004""","=""586.79475""","=""0.00006""","=""10""","=""""",,"=""28682.2050""","=""45719.2168""","=""3d5.(4D).4s""","=""a 3D""","=""2""","=""3d5.(4P).4p""","=""y 3P*""","=""1""",,"=""""","=""L808""",
Dy,2,"=""586.811""","=""""","=""""","=""""","=""55w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Hf,1,"=""586.8195""","=""0.0007""","=""586.81966""","=""0.00024""","=""88""","=""""",,"=""29401.4784""","=""46437.767""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 3P*""","=""2""","=""6p2.(3P).5d.(4P).6s""","=""f 3P""","=""2""",,"=""""","=""L16323""",
Zr,1,"=""586.827""","=""""","=""""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""586.837475""","=""0.000024""","=""586.837463""","=""0.000007""","=""430""","=""""",,"=""18053.617845""","=""35089.38959""","=""6d.7s2.7p""","=""3F*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L18702""",
Hf,1,"=""586.8390""","=""0.0011""","=""586.83921""","=""0.00021""","=""22""","=""""",,"=""29246.6760""","=""46282.397""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""4""","=""6p2.(3P).5d.(2F).6s""","=""f 3F""","=""4""",,"=""""","=""L16323""",
Si,2,"=""586.840""","=""""","=""""","=""""","=""300w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3541""",
Ne,1,"=""586.84165""","=""0.00030""","=""586.84155""","=""0.00005""","=""750""","=""8.26e+05""",C+,"=""150772.1118""","=""167807.7649""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L4498""",
Hf,1,"=""586.8500""","=""0.0011""","=""586.8500""","=""0.0004""","=""11""","=""""",,"=""30733.2723""","=""47768.679""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""4""","=""6p2.(1D).5d.(2G).6s""","=""b 3G""","=""5""",,"=""""","=""L16323""",
Sm,1,"=""586.861""","=""""","=""""","=""""","=""45""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
I,1,"=""586.8640""","=""0.0020""","=""586.86460""","=""0.00009""","=""110""","=""""",,"=""61819.6111""","=""78854.595""","=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""3/2""","=""5s2.5p4.(3P<2>).8p""","=""2[3]*""","=""5/2""",,"=""""","=""L13998""",
Pm,2,"=""586.879""","=""""","=""""","=""""","=""300c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7345""",
Kr,3,"=""586.880""","=""""","=""586.886+""","=""""","=""3""","=""""",,"=""176790.75""","=""193825.10""","=""4s2.4p3.(2P*).4d""","=""3P*""","=""2""","=""4s2.4p3.(2D*).5p""","=""3F""","=""3""",,"=""""","=""L7284""",
Pr,2,"=""586.883""","=""""","=""586.881+""","=""""","=""80*""","=""""",,"=""16243.01""","=""33277.53""","=""4f2.5d.6s?""","=""""","=""6""","=""4f2.5d.6p?""","=""*""","=""5""",,"=""""","=""L3475""",
Pr,2,"=""586.883""","=""""","=""586.882+""","=""""","=""80*""","=""3.1e+06""",B,"=""8465.04""","=""25499.52""","=""4f3.(4I*).5d""","=""3I*""","=""6""","=""4f3.(4I*).6p?""","=""""","=""5""",,"=""T8137""","=""L3475""",
Nd,1,"=""586.890""","=""""","=""""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Hf,1,"=""586.8970""","=""0.0011""","=""586.8982""","=""0.0003""","=""22""","=""""",,"=""14541.677""","=""31575.687""","=""5d.6s2.(a 2D).6p""","=""z 3F*""","=""3""","=""5d3.(b 2F).6s""","=""c 3F""","=""4""",,"=""""","=""L16323""",
Cs,2,"=""586.90550""","=""0.00019""","=""586.90554""","=""0.00004""","=""570""","=""""",,"=""156124.4521""","=""173158.2478""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L12126""",
Hf,1,"=""586.9106""","=""0.0007""","=""586.91060""","=""0.00024""","=""77""","=""""",,"=""29246.6760""","=""46280.325""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""4""","=""6p2.(1D).5d.(2F).6s""","=""g 3F""","=""3""",,"=""""","=""L16323""",
Th,1,"=""586.9164""","=""0.0003""","=""586.916163""","=""0.000004""","=""86""","=""""",,"=""12847.96912""","=""29881.45655""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L3552""",
Ti,1,"=""586.9195""","=""0.0004""","=""586.91983""","=""0.00014""","=""3""","=""""",,"=""8602.3441""","=""25635.725""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""1""",,"=""""","=""L10989""",
Th,1,"=""586.9200""","=""0.0003""","=""586.920072""","=""0.000011""","=""21""","=""""",,"=""17411.224415""","=""34444.5984""","=""6d.7s2.7p""","=""3D*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Mo,1,"=""586.9310""","=""""","=""586.9311+""","=""""","=""50""","=""7.0e+06""",B,"=""27726.714""","=""44759.769""","=""4d4.5s2""","=""b 3G""","=""5""","=""4d4.5s.(4H).5p""","=""y 3G*""","=""5""",,"=""T5293""","=""L10250,L3475""",
V,2,"=""""","=""""","=""586.93888""","=""0.00010""","=""""","=""8.e-02""",E,"=""13608.9393""","=""30641.7674""","=""3d4""","=""b 3F2""","=""4""","=""3d4""","=""d 3F1""","=""3""",E2,"=""T9770""","=""""",
Zr,1,"=""586.950""","=""""","=""""","=""""","=""110""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Lu,3,"=""586.971""","=""""","=""""","=""""","=""80""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1402""",
Th,1,"=""586.985072""","=""0.000017""","=""586.985066""","=""0.000004""","=""700""","=""""",,"=""11241.73043""","=""28273.21842""","=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L18702""",
La,1,"=""586.995""","=""""","=""586.995+""","=""""","=""16""","=""1.66e+06""",C+,"=""8052.162""","=""25083.36""","=""5d2.(3F).6s""","=""2F""","=""7/2""","=""5d2.(3P).6p""","=""4D*""","=""7/2""",,"=""T9460""","=""L3475""",
Fe,2,"=""""","=""""","=""587.00215""","=""0.00008""","=""""","=""1.67e-01""",C+,"=""15844.6485""","=""32875.6409""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(1I).4s""","=""a 2I""","=""13/2""",E2,"=""T8961""","=""""",
W,1,"=""587.003""","=""""","=""586.999""","=""0.003""","=""4*""","=""""",,"=""18280.48""","=""35311.56""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""587.003""","=""""","=""587.003""","=""0.003""","=""4*""","=""""",,"=""26861.64""","=""43892.62""","=""5d5.(2F1).6s""","=""3F""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
Th,1,"=""587.00522""","=""0.00006""","=""587.005201""","=""0.000004""","=""150""","=""""",,"=""11197.031257""","=""28227.93504""","=""5f.6d.7s2""","=""3H*""","=""5""","=""5f.7s2.7p""","=""3F""","=""4""",,"=""""","=""L5951""",
V,2,"=""587.0339""","=""0.0012""","=""587.0357""","=""0.0006""","=""630""","=""""",,"=""73499.7723""","=""90529.790""","=""3d3.(4F).4d""","=""5G""","=""6""","=""3d3.(4F<7/2>).4f""","=""2[13/2]*""","=""7""",,"=""""","=""L10089c179""",
Ar,2,"=""587.0443""","=""0.0008""","=""587.04528""","=""0.00003""","=""4""","=""""",,"=""179592.2248""","=""196621.9658""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L14821""",
Th,1,"=""587.04625""","=""0.00017""","=""587.046944""","=""0.000014""","=""100""","=""""",,"=""21077.152101""","=""38106.8449""","=""6d2.7s.7p""","=""5F*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L12239""",
Th,2,"=""587.05526""","=""0.00003""","=""587.055285""","=""0.000007""","=""580""","=""""",,"=""12485.68373""","=""29515.13456""","=""5f.(2F*).6d2.(3F)""","=""*""","=""7/2""","=""5f2.(3F).7s""","=""""","=""9/2""",,"=""""","=""L5951""",
Tb,1,"=""587.062""","=""""","=""""","=""""","=""65""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
W,1,"=""587.065""","=""""","=""587.067""","=""0.003""","=""1""","=""""",,"=""28233.44""","=""45262.55""","=""5d5.(4F).6s""","=""5F""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
C,1,"=""587.0655""","=""0.0014""","=""587.0660""","=""0.0007""","=""4600""","=""""",,"=""70743.97227""","=""87773.113""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.6d""","=""3D*""","=""2""",,"=""""","=""L17684""",
Ho,1,"=""587.085""","=""""","=""""","=""""","=""45""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Hg,2,"=""587.0899""","=""0.0003""","=""""","=""""","=""80p""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Kr,1,"=""587.091599""","=""""","=""587.09157+""","=""""","=""3000""","=""7.1e+05""",C,"=""80916.7680""","=""97945.1664""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",,"=""T7199""","=""L11281""",
Fe,2,"=""587.09945""","=""0.00011""","=""587.09920""","=""0.00007""","=""90""","=""""",,"=""61156.827""","=""78185.004""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d5.4s2""","=""2G2""","=""7/2""",,"=""""","=""L18349c139""",
Nd,1,"=""587.104""","=""""","=""""","=""""","=""27""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Sm,1,"=""587.106""","=""""","=""""","=""""","=""35""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ti,1,"=""587.1146""","=""0.0004""","=""587.11495""","=""0.00014""","=""2""","=""""",,"=""26564.400""","=""43592.1203""","=""3d3.(4F).4p""","=""y 5G*""","=""3""","=""3d3.(4F).4d""","=""5G""","=""2""",,"=""""","=""L10989""",
Cr,1,"=""587.118""","=""0.004""","=""587.1176""","=""0.0021""","=""15""","=""""",,"=""45663.2579""","=""62690.90""","=""3d5.(4G).4p""","=""y 5H*""","=""5""","=""3d5.(4G).4d""","=""f 5G""","=""5""",,"=""""","=""L808""",
Th,1,"=""587.118265""","=""0.000017""","=""587.118273""","=""0.000004""","=""680""","=""""",,"=""7280.123222""","=""24307.74711""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L18702""",
Hg,2,"=""587.1279""","=""0.0003""","=""587.12779""","=""0.00025""","=""1200000""","=""1.0e+08""",,"=""108298.183""","=""125325.531""","=""5d10.7p""","=""2P*""","=""1/2""","=""5d10.7d""","=""2D""","=""3/2""",,"=""T7226""","=""L11760""",
Fe,1,"=""587.13033""","=""0.00010""","=""587.13034""","=""0.00005""","=""7""","=""""",,"=""33507.123""","=""50534.397""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 5D""","=""3""",,"=""""","=""L11631""",
Fe,3,"=""587.1342""","=""0.0020""","=""587.1346""","=""0.0017""","=""34""","=""""",,"=""205672.08""","=""222699.23""","=""3d5.(4D).5p""","=""5D*""","=""4""","=""3d5.(4G).5d""","=""5F""","=""5""",,"=""""","=""L1171""",
Mo,6,"=""587.137""","=""0.001""","=""587.138""","=""0.006""","=""300""","=""1.83e+08""",,"=""439691.28""","=""456718.34""","=""4p6.7d""","=""2D""","=""5/2""","=""4p6.8p""","=""2P*""","=""3/2""",,"=""T8723""","=""L15083""",
W,1,"=""587.137""","=""""","=""587.138""","=""0.003""","=""1""","=""""",,"=""29479.32""","=""46506.37""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
Th,1,"=""587.1405""","=""0.0003""","=""587.140068""","=""0.000011""","=""160""","=""""",,"=""17847.07751""","=""34874.0693""","=""5f.6d.7s2""","=""3P*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Th,2,"=""587.1447""","=""0.0005""","=""587.145089""","=""0.000007""","=""25""","=""""",,"=""12488.28836""","=""29515.13456""","=""5f.6d.(3F*).7s""","=""4F*""","=""9/2""","=""5f2.(3F).7s""","=""""","=""9/2""",,"=""""","=""L2372""",
Hg,2,"=""587.1572""","=""0.0003""","=""""","=""""","=""50u""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
W,1,"=""587.164""","=""""","=""587.163""","=""0.003""","=""4w""","=""""",,"=""28198.90""","=""45225.22""","=""5d4.6s.(6D).6p""","=""5P*""","=""1""","=""5d4.6s.(6D).7s""","=""5D""","=""0""",,"=""""","=""L153""",
C,3,"=""""","=""""","=""587.168""","=""""","=""""","=""1.00e+07""",B,"=""323101.36""","=""340127.53""","=""1s2.2p.(2P*).3p""","=""3D""","=""2""","=""1s2.2p.(2P*).3d""","=""3P*""","=""1""",,"=""T5633LS""","=""""",
Fe,2,"=""587.17701""","=""0.00004""","=""587.17703""","=""0.00004""","=""500""","=""7.3e+06""",C+,"=""87340.882""","=""104366.802""","=""3d5.(4G).4s.4p.(3P*)""","=""y 6F*""","=""11/2""","=""3d6.(5D).5d""","=""6G""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
Cs,2,"=""587.1796""","=""0.0008""","=""587.17957""","=""0.00005""","=""38""","=""""",,"=""153311.2074""","=""170337.0537""","=""5p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",,"=""""","=""L12126""",
Y,1,"=""587.18203""","=""""","=""587.18200""","=""0.00005""","=""15""","=""""",,"=""16816.641""","=""33842.417""","=""4d.5s.(3D).5p""","=""z 4D*""","=""5/2""","=""4d3""","=""2P""","=""3/2""",,"=""""","=""L7610,L3475""",
Hf,1,"=""587.1840""","=""0.0011""","=""""","=""""","=""11""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
Hg,2,"=""587.1921""","=""0.0003""","=""""","=""""","=""600h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11760""",
Hg,1,"=""587.1975""","=""0.0005""","=""587.1975""","=""0.0005""","=""30""","=""""",,"=""62350.325""","=""79375.652""","=""5d10.6s.7s""","=""3S""","=""1""","=""5d10.6s.9p""","=""3P*""","=""0""",,"=""""","=""L3499""",
C,3,"=""""","=""""","=""587.210""","=""""","=""""","=""1.33e+05""",B,"=""323076.88""","=""340101.84""","=""1s2.2p.(2P*).3p""","=""3D""","=""1""","=""1s2.2p.(2P*).3d""","=""3P*""","=""2""",,"=""T5633LS""","=""""",
Ne,1,"=""587.21450""","=""0.00030""","=""587.21443""","=""0.00005""","=""750""","=""6.69e+05""",C+,"=""150772.1118""","=""167796.9475""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L4498""",
Th,2,"=""587.2312""","=""0.0005""","=""587.231213""","=""0.000021""","=""0""","=""""",,"=""24463.79045""","=""41488.1395""","=""5f.(2F*).6d2.(3F)""","=""4P*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",,"=""""","=""L2372""",
Er,1,"=""587.235""","=""""","=""""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ti,1,"=""587.2425""","=""0.0009""","=""587.24330""","=""0.00017""","=""2q""","=""""",,"=""25699.987""","=""42723.9855""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""2""","=""3d2.4s.(4F).4d""","=""e 5P""","=""2""",,"=""""","=""L10989""",
Th,2,"=""587.26027""","=""0.00004""","=""587.260257""","=""0.000014""","=""360""","=""""",,"=""9400.96493""","=""26424.4720""","=""6d3""","=""4F""","=""5/2""","=""5f.(2F*).6d2.(3P)""","=""*""","=""5/2""",,"=""""","=""L5951""",
Si,1,"=""""","=""""","=""587.2707""","=""""","=""""","=""1.36e+04""",E,"=""39955.053""","=""56978.256""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3D""","=""1""",,"=""T8363""","=""""",
Fe,1,"=""587.2726""","=""0.0003""","=""587.27268""","=""0.00005""","=""1""","=""""",,"=""26140.179""","=""43163.326""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""""","=""""","=""587.27841""","=""0.00005""","=""""","=""3.4e-02""",E,"=""704.007""","=""17726.988""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4P).4s""","=""a 5P""","=""2""",E2,"=""T6409""","=""""",
Ne,1,"=""587.28275""","=""0.00004""","=""587.28261""","=""0.00005""","=""5000""","=""6.07e+06""",C+,"=""150772.1118""","=""167794.9709""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L3451""",
Th,1,"=""587.28842""","=""0.00005""","=""587.288671""","=""0.000014""","=""220bl""","=""""",,"=""23277.38774""","=""40300.0712""","=""5f.6d.7s.7p""","=""5I""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
Fr,1,"=""587.2900""","=""0.0002""","=""587.29000""","=""0.00022""","=""""","=""1.58e+06""",,"=""13923.998""","=""30946.643""","=""7p""","=""2P*""","=""3/2""","=""11d""","=""2D""","=""5/2""",,"=""T6898""","=""L12264""",
Hf,1,"=""587.2930""","=""0.0019""","=""""","=""""","=""33h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
