element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,1,"=""429.00263""","=""0.00006""","=""429.002639""","=""0.000022""","=""20""","=""""",,"=""19588.36224""","=""42891.6858""","=""6d2.7s.7p""","=""5G*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Er,3,"=""429.006""","=""""","=""""","=""""","=""40000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1925""",
Mn,1,"=""""","=""""","=""429.0066""","=""""","=""""","=""3.4e+06""",E,"=""37630.62""","=""60933.73""","=""3d6.(3G).4s""","=""b 4G""","=""9/2""","=""3d5.(2I).4s.4p.(3P*)""","=""x 4H*""","=""11/2""",,"=""T1117""","=""""",
Ca,3,"=""429.0069""","=""0.0018""","=""429.0071""","=""0.0013""","=""280""","=""2.6e+08""",B,"=""347758.22""","=""371061.30""","=""3s2.3p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",,"=""u33""","=""L1405""",
W,1,"=""429.0138""","=""""","=""429.0138""","=""0.0015""","=""10""","=""""",,"=""18280.48""","=""41583.20""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Ti,2,"=""429.02148""","=""0.00004""","=""429.02148""","=""0.00003""","=""499""","=""8.56e+06""",B+,"=""9395.8020""","=""32698.1022""","=""3d3""","=""a 4P""","=""3/2""","=""3d2.(3F).4p""","=""z 4D*""","=""5/2""",,"=""T7385""","=""u37""",
Th,1,"=""429.02839""","=""0.00006""","=""429.028395""","=""0.000017""","=""36""","=""""",,"=""21077.152101""","=""44379.0767""","=""6d2.7s.7p""","=""5F*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L5951""",
V,1,"=""429.0373""","=""0.0006""","=""429.03770""","=""0.00004""","=""12000bl(Ne)""","=""""",,"=""20606.467""","=""43907.886""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4D*""","=""1/2""","=""3d3.4s.(5F).4d""","=""4P""","=""1/2""",,"=""""","=""L15916""",
Ne,2,"=""429.0374""","=""0.0003""","=""429.0374""","=""0.0004""","=""180""","=""""",,"=""305364.004""","=""328665.44""","=""2s2.2p4.(1D).3d""","=""2G""","=""9/2""","=""2s2.2p4.(1D<2>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L1406""",
Fe,1,"=""429.03786""","=""0.00006""","=""429.03789""","=""0.00003""","=""1780""","=""6.29e+05""",C+,"=""24118.819""","=""47420.228""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""5""",,"=""T5720""","=""L11631""",
Na,2,"=""429.038""","=""0.010""","=""""","=""""","=""60""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L914""",
Th,1,"=""429.039363""","=""0.000018""","=""429.039359""","=""0.000009""","=""390""","=""""",,"=""13847.77037""","=""37149.0995""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
W,1,"=""429.0530""","=""""","=""429.0548""","=""0.0015""","=""2""","=""""",,"=""33201.61""","=""56502.10""","=""5d5.(2G2).6s""","=""3G""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153,L416""",
Fe,2,"=""429.0595""","=""0.0003""","=""429.05965""","=""0.00003""","=""50""","=""""",,"=""79243.462""","=""102543.689""","=""3d6.(1D2).4p""","=""w 2P*""","=""3/2""","=""3d6.(5D).6s""","=""6D""","=""3/2""",,"=""""","=""L18349c139""",
Ne,2,"=""429.0602""","=""0.0003""","=""429.0603""","=""0.0004""","=""160""","=""""",,"=""305365.116""","=""328665.31""","=""2s2.2p4.(1D).3d""","=""2G""","=""7/2""","=""2s2.2p4.(1D<2>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L1406""",
Th,2,"=""429.0829""","=""0.0003""","=""429.082299""","=""0.000024""","=""8""","=""""",,"=""33384.4292""","=""56683.4265""","=""5f2.(3F).7s""","=""""","=""9/2""","=""5f2.7p? ""","=""*""","=""7/2""",,"=""""","=""L2372""",
Fe,2,"=""429.08643""","=""0.00005""","=""429.086338""","=""0.000024""","=""150bl(Fe I)""","=""""",,"=""84424.422""","=""107723.200""","=""3d6.(5D).4d""","=""6P""","=""3/2""","=""3d6.(5D).6p""","=""6F*""","=""1/2""",,"=""""","=""L18349c148""",
Fe,1,"=""429.08644""","=""0.00015""","=""429.08641""","=""0.00003""","=""269""","=""3.83e+05""",C+,"=""22838.323""","=""46137.097""","=""3d7.(4P).4s""","=""b 3P""","=""2""","=""3d7.(4P).4p""","=""w 5P*""","=""3""",,"=""T5720""","=""L11631""",
Pt,1,"=""429.08991""","=""0.00018""","=""429.09017""","=""0.00007""","=""460""","=""""",,"=""37342.089""","=""60640.659""","=""5d9.6p""","=""b 3P*""","=""2""","=""5d9.7s""","=""3D""","=""2""",,"=""""","=""L11529""",
Ti,1,"=""429.0929""","=""0.0002""","=""429.09289""","=""0.00009""","=""1900""","=""4.5e+07""",D,"=""6556.833""","=""29855.255""","=""3d3.(4F).4s""","=""a 5F""","=""1""","=""3d3.(4F).4p""","=""x 5D*""","=""1""",,"=""T2773n""","=""L10989""",
Th,1,"=""429.09537""","=""0.00005""","=""429.095413""","=""0.000013""","=""43""","=""""",,"=""19588.36224""","=""42886.6475""","=""6d2.7s.7p""","=""5G*""","=""5""","=""""","=""""","=""4 or 5""",,"=""""","=""L5951""",
Th,1,"=""429.09993""","=""0.00007""","=""429.09989""","=""0.00003""","=""15""","=""""",,"=""21539.59257""","=""44837.6347""","=""""","=""*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Na,1,"=""429.1006""","=""0.0008""","=""429.10012""","=""0.00004""","=""3""","=""2.47e+05""",B,"=""16973.36619""","=""40271.396""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.11s""","=""2S""","=""1/2""",,"=""T7799""","=""L6096""",
Cu,2,"=""429.1084""","=""0.0003""","=""429.10824""","=""0.00024""","=""640""","=""""",,"=""108014.8372""","=""131312.426""","=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""3d8.(3P).4s.4p.(3P*)""","=""5D*""","=""4""",,"=""""","=""L869c171""",
Ti,1,"=""429.1126""","=""0.0002""","=""429.11257""","=""0.00015""","=""190""","=""""",,"=""18287.554""","=""41584.908""","=""3d3.(2G).4s""","=""b 1G""","=""4""","=""3d3.(2G).4p""","=""v 1F*""","=""3""",,"=""""","=""L10989""",
Ba,1,"=""429.11571""","=""""","=""429.1157+""","=""""","=""26""","=""""",,"=""12636.623""","=""35933.806""","=""6s.6p""","=""3P*""","=""1""","=""5d.6d""","=""3D""","=""1""",,"=""""","=""L9224""",
Re,1,"=""429.117""","=""""","=""""","=""""","=""120c""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ti,1,"=""429.1195""","=""0.0002""","=""429.11951""","=""0.00007""","=""67*""","=""""",,"=""27750.135""","=""51047.112""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3G*""","=""5""","=""3d2.4s.(4F<9/2>).5g""","=""2[13/2]""","=""6""",,"=""""","=""L10989""",
Ti,1,"=""429.1195""","=""0.0002""","=""429.11957""","=""0.00011""","=""67*""","=""""",,"=""14028.436""","=""37325.410""","=""3d3.(4P).4s""","=""a 5P""","=""2""","=""3d3.(2D2).4p""","=""w 3P*""","=""2""",,"=""""","=""L10989""",
O,2,"=""429.1254""","=""""","=""429.12535""","=""""","=""14""","=""""",,"=""232462.724""","=""255759.384""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""7/2""",,"=""""","=""L6915""",
V,1,"=""429.12885""","=""0.00018""","=""429.12885""","=""0.00004""","=""160000""","=""7.3e+06""",B+,"=""14949.359""","=""38245.829""","=""3d4.(3H).4s""","=""a 4H""","=""9/2""","=""3d4.(3H).4p""","=""x 4H*""","=""7/2""",,"=""T9399""","=""L15916""",
Pa,2,"=""429.134""","=""""","=""""","=""""","=""3000s""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""u2""",
Th,2,"=""429.13852""","=""0.00006""","=""429.138518""","=""0.000009""","=""40""","=""""",,"=""11725.42899""","=""35021.3741""","=""5f.6d.(3D*).7s""","=""4D*""","=""1/2""","=""5f.7s.(3F*).7p""","=""4D""","=""3/2""",,"=""""","=""L5951""",
Br,2,"=""429.139""","=""""","=""""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7392""",
S,2,"=""429.1432""","=""0.0006""","=""429.1425""","=""0.0006""","=""1800""","=""2.8e+07""",E,"=""129858.183""","=""153153.91""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""","=""3s2.3p2.(3P).4d""","=""4D""","=""1/2""",,"=""T1619CA,LS""","=""L5883""",
Mn,2,"=""429.146""","=""0.0015""","=""""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L562""",
Fe,1,"=""429.14634""","=""0.00006""","=""429.14629""","=""0.00003""","=""9800""","=""3.35e+03""",B,"=""415.933""","=""23711.456""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""4""",,"=""T5720""","=""L11631""",
W,1,"=""429.1502""","=""""","=""429.1530""","=""0.0015""","=""3""","=""""",,"=""30374.20""","=""53669.36""","=""5d4.6s2""","=""3F1""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Th,1,"=""429.16331""","=""0.00003""","=""429.163314""","=""0.000008""","=""120""","=""""",,"=""15970.09583""","=""39264.6950""","=""6d3.(2D2).7s""","=""""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Cl,2,"=""""","=""""","=""429.1707""","=""""","=""""","=""1.0e+08""",D,"=""126726.70""","=""150020.90""","=""3s2.3p3.(2D*).4s""","=""3D*""","=""1""","=""3s2.3p3.(2D*).4p""","=""3P""","=""0""",,"=""T1277,T1619CA,LS""","=""""",
Ge,3,"=""429.171""","=""""","=""""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3302""",
Th,1,"=""429.17332""","=""0.00006""","=""429.173401""","=""0.000011""","=""38""","=""""",,"=""13088.56115""","=""36382.6128""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L5951""",
V,1,"=""429.18062""","=""0.00018""","=""429.18064""","=""0.00006""","=""1200000""","=""6.6e+07""",B+,"=""17242.070""","=""40535.729""","=""3d4.(3G).4s""","=""a 4G""","=""11/2""","=""3d4.(3G).4p""","=""w 4H*""","=""13/2""",,"=""T9399""","=""L15916""",
Th,1,"=""429.180978""","=""0.000007""","=""429.180983""","=""0.000003""","=""1800""","=""""",,"=""8243.602091""","=""31537.24226""","=""5f.6d.7s2""","=""3F*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L18702""",
C,2,"=""429.182""","=""0.004""","=""429.1817""","=""0.0015""","=""30h*""","=""2.40e+07""",C+,"=""198436.26""","=""221729.86""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""2D""","=""5/2""",,"=""T10528""","=""L1176""",
C,2,"=""429.182""","=""0.004""","=""429.1841""","=""0.0007""","=""30h*""","=""""",,"=""198436.26""","=""221729.73""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""3/2""",,"=""""","=""L1176""",
O,2,"=""429.1857""","=""""","=""429.18528""","=""""","=""7""","=""""",,"=""232462.724""","=""255756.131""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
Ti,3,"=""429.1925""","=""""","=""429.193+""","=""""","=""5""","=""""",,"=""159180.24""","=""182473.21""","=""3p6.3d.4f""","=""1F*""","=""3""","=""3p6.3d.(2D<5/2>).5g""","=""2[7/2]""","=""3""",,"=""""","=""L3593""",
Cr,1,"=""429.19582""","=""0.00005""","=""429.19580""","=""0.00004""","=""50""","=""2.4e+07""",D,"=""27597.2409""","=""50890.077""","=""3d4.4s2""","=""b 3G""","=""3""","=""3d4.(3G).4s.4p.(3P*)""","=""w 3F*""","=""2""",,"=""T3963""","=""L14866""",
Dy,1,"=""429.1966""","=""""","=""429.1954+""","=""""","=""3000""","=""2.28e+06""",B+,"=""4134.222""","=""27427.08""","=""4f10.6s2""","=""5I""","=""7""","=""4f10.(5I<5>).6s.6p.(3P*<2>)""","=""(5,2)*""","=""7""",,"=""T7148""","=""L1177""",
Ne,1,"=""429.1976""","=""0.0020""","=""429.1992""","=""0.0009""","=""20*""","=""""",,"=""150315.8612""","=""173608.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
Ne,1,"=""429.1976""","=""0.0020""","=""429.1992""","=""0.0015""","=""20*""","=""""",,"=""150315.8612""","=""173608.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
Ne,1,"=""429.1976""","=""0.0020""","=""429.1987""","=""0.0013""","=""20*""","=""""",,"=""150315.8612""","=""173608.54""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
Fe,3,"=""429.200""","=""0.003""","=""429.2014""","=""0.0015""","=""43h""","=""""",,"=""165719.46""","=""189011.99""","=""3d5.(b 2G).4p""","=""3H*""","=""4""","=""3d5.(4D).4d""","=""3G""","=""4""",,"=""""","=""L1171""",
Cs,2,"=""429.20017""","=""0.00004""","=""429.200145""","=""0.000025""","=""7200""","=""""",,"=""143403.4304""","=""166696.0306""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""",,"=""""","=""L12126""",
In,2,"=""429.2064""","=""0.0011""","=""429.20586""","=""0.00015""","=""100""","=""4.8e+05""",D+,"=""109780.221""","=""133072.511""","=""5s.6p""","=""1P*""","=""1""","=""5s.8s""","=""3S""","=""1""",,"=""T8104""","=""L3548c128""",
Fe,1,"=""429.2117""","=""0.0003""","=""429.21170""","=""0.00003""","=""145""","=""""",,"=""17550.181""","=""40842.154""","=""3d7.(4P).4s""","=""a 5P""","=""3""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""",,"=""""","=""L11631""",
Mo,1,"=""429.213""","=""""","=""429.2132+""","=""""","=""680*""","=""""",,"=""23516.476""","=""46808.367""","=""4d4.5s2""","=""a 3F""","=""4""","=""4d5.(4F).5p""","=""x 3D*""","=""3""",,"=""""","=""L3475""",
Mo,1,"=""429.2134""","=""""","=""429.2135+""","=""""","=""680*""","=""6.9e+06""",B+,"=""11142.784""","=""34434.660""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d4.5s.(6D).5p""","=""z 5F*""","=""2""",,"=""T5293""","=""L10250,L3475""",
W,1,"=""429.2149""","=""""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
N,1,"=""""","=""""","=""429.216""","=""""","=""""","=""5.57e+05""",C+,"=""96864.050""","=""120155.8""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5714""","=""""",
Fe,1,"=""429.2163""","=""0.0003""","=""429.21629""","=""0.00003""","=""166""","=""""",,"=""20874.482""","=""44166.206""","=""3d6.4s2""","=""b 3F2""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""v 5D*""","=""3""",,"=""""","=""L11631""",
Sm,2,"=""429.218""","=""""","=""""","=""""","=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
O,2,"=""429.2211""","=""""","=""429.22138""","=""""","=""13""","=""""",,"=""232796.298""","=""256087.746""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).4f F""","=""2[2]*""","=""5/2""",,"=""""","=""L6915""",
Mn,2,"=""429.22328""","=""0.00009""","=""429.22329""","=""0.00006""","=""200""","=""1.5e+06""",D+,"=""43395.395""","=""66686.739""","=""3d5.(2D).4s""","=""c 3D""","=""3""","=""3d5.(4G).4p""","=""z 5F*""","=""3""",,"=""T7259""","=""L11924,L562""",
Fe,1,"=""429.22841""","=""0.00015""","=""429.22847""","=""0.00003""","=""234""","=""""",,"=""17726.988""","=""41018.051""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""",,"=""""","=""L11631""",
Th,1,"=""429.23057""","=""0.00003""","=""429.230570""","=""0.000006""","=""170""","=""""",,"=""12114.36618""","=""35405.3154""","=""5f.6d.7s2""","=""1D*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L5951""",
C,2,"=""429.241""","=""0.003""","=""429.2387""","=""0.0018""","=""63*""","=""2.5e+06""",D+,"=""168978.24""","=""192268.75""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.10g""","=""2G""","=""7/2""",,"=""T7476""","=""L21568""",
C,2,"=""429.241""","=""0.003""","=""429.2418""","=""0.0018""","=""63*""","=""2.6e+06""",D+,"=""168978.42""","=""192268.76""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.10g""","=""2G""","=""9/2""",,"=""T7476""","=""L21568""",
C,2,"=""429.241""","=""0.003""","=""429.2420""","=""0.0018""","=""63*""","=""9.e+04""",E,"=""168978.42""","=""192268.75""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.10g""","=""2G""","=""7/2""",,"=""T7476""","=""L21568""",
Cu,2,"=""429.24705""","=""0.00014""","=""429.24694""","=""0.00003""","=""9000""","=""""",,"=""121524.8509""","=""144814.9118""","=""3d8.(3F).4s.4p.(3P*)""","=""1F*""","=""3""","=""3d9.(2D<5/2>).7s""","=""2[5/2]""","=""3""",,"=""""","=""L869c171""",
Na,2,"=""429.2488""","=""0.0003""","=""429.249""","=""0.003""","=""250""","=""""",,"=""330636.75""","=""353926.69""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L914""",
Th,2,"=""429.25165""","=""0.00004""","=""429.251629""","=""0.000011""","=""58""","=""""",,"=""4113.35932""","=""27403.1659""","=""6d.(2D).7s2""","=""""","=""5/2""","=""5f.(2F*).6d2.(1D)""","=""*""","=""3/2""",,"=""""","=""L5951""",
Kr,1,"=""429.264""","=""""","=""429.26402+""","=""""","=""6""","=""""",,"=""85191.6166""","=""108480.751""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
Ti,1,"=""429.2668""","=""0.0002""","=""429.26674""","=""0.00011""","=""76""","=""""",,"=""8436.618""","=""31725.605""","=""3d2.4s2""","=""a 3P""","=""0""","=""3d2.(3P).4s.4p.(3P*)""","=""y 3P*""","=""1""",,"=""""","=""L10989""",
W,1,"=""429.2730""","=""""","=""429.2729""","=""0.0015""","=""4""","=""""",,"=""16431.31""","=""39719.96""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
Na,2,"=""429.2864""","=""0.0003""","=""429.287""","=""0.003""","=""250""","=""""",,"=""330549.35""","=""353837.23""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""""","=""L914""",
Zn,1,"=""429.28836""","=""0.00008""","=""429.28830""","=""0.00006""","=""32000""","=""""",,"=""32501.3990""","=""55789.216""","=""3d10.4s.4p""","=""3P*""","=""1""","=""3d10.4s.5s""","=""1S""","=""0""",,"=""""","=""L9761""",
Kr,2,"=""429.29233""","=""""","=""429.2923+""","=""""","=""600""","=""9.6e+07""",D,"=""115092.012""","=""138379.610""","=""4s2.4p4.(3P).5s""","=""4P""","=""3/2""","=""4s2.4p4.(3P).5p""","=""4D*""","=""3/2""",,"=""T3408""","=""L605""",
O,2,"=""429.2954""","=""""","=""429.2977""","=""""","=""2""","=""""",,"=""232796.298""","=""256083.604""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).4f F""","=""2[2]*""","=""3/2""",,"=""""","=""L10621""",
Hf,1,"=""429.2980""","=""0.0007""","=""429.29750""","=""0.00009""","=""370""","=""""",,"=""18011.0647""","=""41298.383""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5G*""","=""2""","=""5d2.(3F).6s.(a 4F).7s""","=""d 3F""","=""2""",,"=""""","=""L16323""",
Cm,1,"=""429.300""","=""""","=""""","=""""","=""10000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3587""",
Cs,2,"=""429.30641""","=""0.00015""","=""429.30668""","=""0.00011""","=""830""","=""""",,"=""156585.7450""","=""179872.565""","=""5p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""5p5.(2P*<3/2>).8g""","=""2[11/2]*""","=""5""",,"=""""","=""L12126""",
Th,2,"=""429.3089""","=""0.0003""","=""429.309153""","=""0.000009""","=""8""","=""""",,"=""14275.57661""","=""37562.2626""","=""5f.(2F*).6d2.(3F)""","=""4I*""","=""9/2""","=""5f2.(3H).6d""","=""4I""","=""11/2""",,"=""""","=""L2372""",
W,1,"=""429.3110""","=""""","=""429.3117""","=""0.0015""","=""2""","=""""",,"=""27662.52""","=""50949.07""","=""5d4.6s.(6D).6p""","=""5F*""","=""2""","=""""","=""""","=""1""",,"=""""","=""L153""",
Th,1,"=""429.31618""","=""0.00006""","=""429.316125""","=""0.000017""","=""21""","=""""",,"=""18809.88631""","=""42096.1941""","=""6d2.7s.7p""","=""5G*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L5951""",
N,1,"=""""","=""""","=""429.321""","=""""","=""""","=""5.21e+06""",C+,"=""96864.050""","=""120150.1""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5714""","=""""",
Mo,1,"=""429.3215""","=""""","=""429.3215+""","=""""","=""890""","=""8.3e+06""",B+,"=""11454.362""","=""34740.380""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d4.5s.(6D).5p""","=""z 5F*""","=""3""",,"=""T5293""","=""L10250,L3475""",
Th,2,"=""429.3218""","=""0.0003""","=""429.321789""","=""0.000017""","=""8""","=""""",,"=""19050.82932""","=""42336.8299""","=""5f.(2F*).6d2.(3F)""","=""*""","=""3/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",,"=""""","=""L2372""",
Mn,2,"=""429.327""","=""0.0015""","=""429.3255""","=""0.0009""","=""15""","=""1.5e+07""",D,"=""85960.622""","=""109246.42""","=""3d5.(6S).5p""","=""x 7P*""","=""3""","=""3d5.(6S).6d""","=""7D""","=""4""",,"=""c88""","=""L562""",
Ru,1,"=""429.328""","=""""","=""429.328+""","=""""","=""220""","=""""",,"=""9057.64""","=""32343.30""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d6.5s.(a 6D).5p""","=""z 7P*""","=""2""",,"=""""","=""L3475""",
W,1,"=""429.3280""","=""""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Sn,2,"=""429.33""","=""0.04""","=""429.327""","=""0.015""","=""170*""","=""1.8e+05""",E,"=""89288.255""","=""112574.0""","=""5s2.4f""","=""2F*""","=""7/2""","=""5s2.9g""","=""2G""","=""7/2""",,"=""T9352""","=""L3368""",
Sn,2,"=""429.33""","=""0.04""","=""429.327""","=""0.015""","=""170*""","=""5.1e+06""",D+,"=""89288.255""","=""112574.0""","=""5s2.4f""","=""2F*""","=""7/2""","=""5s2.9g""","=""2G""","=""9/2""",,"=""T9352""","=""L3368""",
Ti,3,"=""429.334""","=""""","=""429.333+""","=""""","=""3""","=""3.1e+07""",D,"=""159394.89""","=""182680.27""","=""3p6.3d.4f""","=""3D*""","=""1""","=""3p6.3d.(2D<5/2>).5g""","=""2[3/2]""","=""1""",,"=""T1216""","=""L3593""",
Cr,1,"=""429.342""","=""0.003""","=""429.34103""","=""0.00020""","=""2""","=""""",,"=""33935.613""","=""57220.570""","=""3d4.4s2""","=""c 3D""","=""2""","=""3d4.(3D).4s.4p.(3P*)""","=""t 3F*""","=""2""",,"=""""","=""L808""",
La,1,"=""""","=""""","=""429.3445+""","=""""","=""""","=""1.8e+06""",C+,"=""7679.939""","=""30964.71""","=""5d2.(3P).6s""","=""4P""","=""5/2""","=""""","=""*""","=""7/2""",,"=""T9460""","=""""",
Ga,1,"=""""","=""""","=""429.3459""","=""""","=""""","=""""",,"=""24788.530""","=""48073.225""","=""4s2.5s""","=""2S""","=""1/2""","=""4s2.20d""","=""2D""","=""5/2""",E2,"=""""","=""L12180""",
Ga,1,"=""""","=""""","=""429.3507""","=""""","=""""","=""""",,"=""24788.530""","=""48072.962""","=""4s2.5s""","=""2S""","=""1/2""","=""4s2.20d""","=""2D""","=""3/2""",E2,"=""""","=""L12180""",
W,1,"=""429.3535""","=""""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Cr,1,"=""429.35427""","=""0.00010""","=""429.354304""","=""0.000024""","=""12""","=""2.5e+06""",D,"=""23498.8156""","=""46783.0528""","=""3d5.(6S).4p""","=""z 7P*""","=""4""","=""3d4.4s.5s""","=""f 7D""","=""4""",,"=""T4288""","=""L14866""",
Fe,3,"=""429.366""","=""0.003""","=""429.3622""","=""0.0011""","=""54hp""","=""""",,"=""181808.80""","=""205092.61""","=""3d5.(4G).5s""","=""5G""","=""5""","=""3d5.(4D).5p""","=""5F*""","=""4""",,"=""""","=""L1171""",
Mn,2,"=""429.368""","=""0.0015""","=""429.3676""","=""0.0009""","=""10""","=""1.5e+07""",D,"=""85960.622""","=""109244.14""","=""3d5.(6S).5p""","=""x 7P*""","=""3""","=""3d5.(6S).6d""","=""7D""","=""3""",,"=""c88""","=""L562""",
Sr,4,"=""429.3717""","=""0.002""","=""429.3742""","=""0.0013""","=""12""","=""""",,"=""327166.57""","=""350449.73""","=""4s2.4p4.(3P<2>).5d""","=""2[3]""","=""7/2""","=""4s.4d.(3D).4p5.(2P*)""","=""4F*""","=""9/2""",,"=""""","=""L4311""",
V,5,"=""429.3735""","=""""","=""429.373+""","=""""","=""10""","=""""",,"=""328217.30""","=""351500.51""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.5p""","=""2P*""","=""1/2""",,"=""""","=""L3917""",
