Intensity    Wavelength (Å)    Spectrum  Reference
  600          4500.15         Pm II     RCWM80              
  120          4501.55         Cs II     S81                 
    9          4502.223        Mn I      CMG64               
  100          4502.3543       Kr I      K93                 
   90          4505.2167       Th I      PE83                
   50          4505.948        Y  I      P77                 
   90          4506.21         Gd I      MCS75               
  250          4506.413        Ce I      M75c                
  150          4507.109        Zr I      J98                 
  700   P,l    4507.20         Ac II     MFT57               
  800          4507.659        As II     LA71                
  150          4508.48         Rn I      R33                 
 1000   P,l    4509.450        Am II     FT57                
  150          4510.153        Pr II     G90                 
   70          4510.5259       Th II     PE83                
    3          4510.733        Ar I      N73                 
  140   d      4510.98         Ta I      MCS75               
 1000   P      4511.2972       In I      DMZ53               
  100          4512.733        Ti I      F91                 
   50          4513.31         Re I      MCS75               
   40          4515.98         Tc I      BMC67               
  130          4518.021        Ti I      F91                 
  400   P      4518.57         Lu I      MCS75               
   15          4519.595        Tm I      SMC73               
  200          4519.633        Sm II     K35                 
  250   P      4519.66         Gd I      MCS75               
    8          4520.90         Pt I      MCS75               
  120          4521.1939       Th I      PE83                
   30   l      4521.86         Xe II     H39                 
    1          4522.323        Ar I      N73                 
   90          4522.37         La II     MCS75               
   50   P      4522.57         Eu II     MCS75               
   30          4522.57         Tm II     MCS75               
  100          4522.720        Ne II     P71                 
    9          4522.73         Re I      MCS75               
  130          4522.796        Ti I      F91                 
  400          4522.84         Tc I      BMC67               
  200          4523.077        Ce II     C73                 
  130   h      4523.14         Kr II     DHM33               
   30          4523.41         Nb I      MCS75               
  110   P      4524.734        Sn I      B64                 
    2          4524.926        Ba II     KL99                
  600          4525.20         Pm II     RCWM80              
  200          4525.59         Br I      T63                 
   20          4526.458        Cr I      K53                 
  200   P      4526.74         Cs II     S81                 
   90          4527.239        Y  I      P77                 
  250          4527.25         Nd I      MCS75               
  100          4527.305        Ti I      F91                 
  250          4527.349        Ce II     C73                 
  150   r      4527.70         Pm I      RD67                
   40          4527.783        Y  I      P77                 
  250          4528.472        Ce II     C73                 
  800   P      4529.21         Pm II     RCWM80              
   30          4530.34         Rb II     R75                 
    7          4530.552        Ar II     N73                 
   20          4530.72         Cr I      K53                 
  150   P      4533.11         Ra II     R34a                
  800          4533.239        Ti I      F91                 
  200          4533.799        Sm I      K35                 
   70   c      4534.154        Pr II     G90                 
  500          4534.775        Ti I      F91                 
  300          4535.567        Ti I      F91                 
   12          4535.714        Cr I      K53                 
  150          4535.742        Zr I      J98                 
  150          4535.918        Ti I      F91                 
   70          4535.923        Pr II     G90                 
  150          4536.039        Ti I      F91                 
 1000   P      4536.146        Pu II     BFG84               
   14          4536.796        Mo I      WB88                
  100          4537.7545       Ne I      SS04                
  200          4537.81         Gd I      MCS75               
   40          4538.97         Cs II     S81                 
   80          4539.53         Tc I      BMC67               
  250          4539.745        Ce II     C73                 
   12          4540.50         Cr I      K53                 
   12          4540.715        Cr I      K53                 
  500          4542.89         Br II     K40                 
  700          4543.483        As II     LA71                
  130   P      4543.6255       U  II     PKE80               
